id,name,price,maxPrice,oldPrice,image,rating
BL-01,2005-07 Mainz Away Shirt,40,80,100,2005_07_Mainz_Away_Shirt_Da_Silva_25.webp,4
BL-02,2002-03 Bayer Leverkusen Away Shirt,18,20,20,2002_03_Bayer_Leverkusen_Player_Issue_Away_Shirt_Ballack_13.webp,5
BL-03,2014-15 Stuttgart Away Shirt,22,40,50,2014_15_Stuttgart_Away_Shirt_6_10.webp,4
BL-04,2014-16 Borussia Dortmund Away Shirt,30,60,70,2014_16_Borussia_Dortmund_Away_Shirt_Aubameyang_17.webp,4
BL-05,2015-16 Bayern Munich Away Shirt,35,70,90,2015_16_Bayern_Munich_Away_Shirt_Gotze_19.webp,5
BL-06,2015-16 Wolfsburg Home Shirt,28,60,75,2015_16_Wolfsburg_Home_Shirt_8_10.webp,3
BL-07,2017-18 TSG Hoffenheim Home Shirt,24,50,60,2017_18_TSG_Hoffenheim_Home_Shirt_Kramaric_27.webp,4
BL-08,2018-19 Monchengladbach Third Shirt,32,65,80,2018_19_Borussia_Monchengladbach_Third_Shirt_Plea_14.webp,5
BL-09,2018-19 Wolfsburg Third Shirt,26,55,70,2018_19_Wolfsburg_Third_Shirt_Roussillon_15.webp,4
BL-10,2020-21 Bayern Munich Home Shirt,40,85,100,2020_21_Bayern_Munich_Home_Shirt_Lewandowski_9.webp,5
BL-11,2020-21 RB Leipzig Home Shirt,27,50,60,2020_21_RB_Leipzig_Home_Shirt_Angelino_3.webp,4
BL-12,2023-24 Bayern Munich Away Shirt,50,95,120,2023_24_Bayern_Munich_Away_Shirt_Gnabry_7.webp,5
