id,name,price,maxPrice,oldPrice,image,rating
PL-01,2007-08 Tottenham Away Shirt,40,80,,2007_08_Tottenham_Away_Shirt_Modric_14.webp,4
PL-02,1993-95 Manchester United Away Shirt,18,20,20,1993_95_Manchester_United_Away_Shirt_Cantona_7.webp,5
PL-03,1996-98 Arsenal Home Shirt,25,50,50,1996_98_Arsenal_Home_Shirt_Vieira_4_8_10.webp,3
PL-04,1997-99 Newcastle Home Shirt,40,40,,1997_99_Newcastle_Home_Shirt_Shearer_9.webp,5
PL-05,2003-04 Aston Villa Home Shirt,25,50,50,2003_04_Aston_Villa_Home_Shirt_Hadji_20.webp,4
PL-06,2006-08 Arsenal Home Shirt,120,280,,2006_08_Arsenal_Home_Shirt_Henry_14_6_10.webp,5
PL-07,2007-08 Everton Third Shirt,18,20,20,2007_08_Everton_Third_Shirt_Pienaar_20.webp,4
PL-08,2009-10 Manchester United Home Shirt,40,40,,2009_10_Manchester_United_Home_Shirt_Scholes_18.webp,5
PL-09,2009-10 Tottenham Away Shirt,40,40,,2009_10_Tottenham_Away_Shirt_Bale_3.webp,5
PL-10,2010-11 Chelsea Third Shirt,40,40,,2010_11_Chelsea_Third_Shirt_Drogba_11.webp,4
PL-11,2011-13 Manchester United Away Shirt,40,40,,2011_13_Manchester_United_Away_Shirt_JS_Park_13.webp,5
PL-12,2016-17 Arsenal Home Shirt,40,40,,2016_17_Arsenal_Home_Shirt_Ozil_11.webp,5
