id,name,price,maxPrice,oldPrice,image,rating
SA-01,1999-00 Lazio European Home Shirt,40,80,,SA-01,5
SA-02,2014-15 Juventus Third Shirt,40,40,,SA-02,5
SA-03,1999-00 Parma Home Shirt,18,20,20,SA-03,5
SA-04,2007-08 Fiorentina Third Shirt,25,50,50,SA-04,4
SA-05,1999-00 Parma Third Shirt,40,40,,SA-05,5
SA-06,2009-10 AC Milan Away Shirt,25,50,50,SA-06,5
SA-07,2018-19 Juventus Authentic Home Shirt,40,40,,SA-07,5
SA-08,2008-09 Fiorentina Home Shirt,120,280,280,SA-08,4
SA-09,2009-10 Inter Milan Home Shirt,18,20,20,SA-09,5
SA-10,2010-11 Roma Home Shirt,40,40,,SA-10,4
SA-11,2011-12 Juventus Home Shirt,40,40,,SA-11,5
SA-12,2019-20 Napoli Home Shirt,40,40,,SA-12,5
